id;ovepg
8561204703;672
8561204707;132
8561204801;732
8562300101;708
8562300103;72
8562300104;0
8562300201;420
8562300203;0
8562300301;2808
8562300302;744
8562300304;240
8562300305;0
8562300501;12288
8562300502;948
8562300602;3360
8562300603;468
8562300604;0
8562300605;0
8562300701;0
8562300702;84
8562300703;0
8562300802;0
8562300803;48
8562300804;84
8562300901;0
8562300902;1128
8562301001;72
8562301002;180
8562301004;84
8562301005;204
8562301006;48
8562301101;3564
8562301102;456
8562301103;60
8562301104;0
8562301201;1380
8562301202;336
8562301204;0
8562301205;288
8562301206;0
8562301401;36
8562301402;252
8562301403;0
8562301404;0
8562301501;192
8562301502;84
8562301503;396
8562301504;0
8562301604;0
8562301605;0
8562301701;0
8562301702;708
8562301703;0
8562301704;0
8562301801;1380
8562301802;15036
8562301803;336
8562301804;132
8562301805;708
8562301902;300
8562302001;7416
8562302004;0
8562302101;9708
8562302102;132
8562302104;5292
8562302105;10212
8562302106;0
8562302201;1368
8562302202;1296
8562302204;312
8562302205;0
8562302401;1920
8562302402;108
8562302404;1152
8562302405;156
8562302406;24
8562302407;0
8562302601;4764
8562302603;504
8562302701;2004
8562302702;9960
8562302703;2616
8562302704;0
8562302707;3216
8562302708;636
8562302709;1320
8562302710;912
8562302801;11208
8562302802;1044
8562302803;0
8562302804;24
8562302901;0
8562302902;1656
8562303101;564
8562303102;2052
8562303103;156
8562303104;4464
8562303201;888
8562303203;0
8562303301;108
8562303302;444
8562303303;0
8562303402;12
8562303403;12
8562303404;0
8562303601;2352
8562303602;3804
8562303603;1680
8562303604;60
8562303605;0
8562303606;1176
8562303801;144
8562303802;7656
8562303804;792
8562303805;72
8562303806;0
8562303807;0
8562303808;2340
8562303901;228
8562303902;132
8562303903;0
8562304001;72
8562304002;3696
8562304003;72
8562304004;72
8562304005;0
8562304102;5784
8562304104;96
8562304106;3516
8562304201;444
8562304202;828
8562304203;312
